Start_X,Start_Y,Goal_X,Goal_Y,Path_Length,Traversability_Cost
25,25,85,79,26,164.88942982369917
25,25,84,75,32,206.9369098280681
25,25,90,76,28,193.59306510663538
25,25,91,65,24,160.99025226020072
25,25,85,73,23,147.04758697220063
25,25,84,70,27,174.1215260957716
25,25,86,76,27,178.99716779026915
25,25,89,81,32,207.56136888357784
25,25,85,73,24,170.45678628942196
25,25,85,80,31,206.6321878023983
25,25,91,65,29,195.66014783179648
25,25,85,80,27,187.59084645382237
25,25,62,36,11,69.2941626911049
25,25,63,38,13,84.21666818393633
25,25,66,37,19,125.55438539461578
25,25,67,35,15,78.67964256515897
25,25,68,37,15,101.19402005449464
25,25,65,35,13,77.43734248530119
25,25,65,35,14,92.01772324120519
25,25,67,38,18,100.67375133050481
25,25,66,37,12,76.49070009831968
25,25,64,37,12,74.36354800851002
25,25,61,34,18,123.27190862105823
25,25,87,99,32,200.45429171729506
25,25,83,98,37,222.44917854558477
25,25,88,97,34,226.3051932035227
25,25,86,94,28,179.83763927660468
25,25,80,94,25,171.14383357127016
25,25,89,94,26,175.86743641940552
25,25,86,99,31,192.49664114389037
25,25,81,96,27,178.0701242265327
35,25,36,76,16,103.74357152692038
35,25,38,73,19,119.02967696551117
35,25,37,72,15,101.54386728237726
35,25,33,78,16,109.816596313772
35,25,38,75,23,136.97170801336506
35,25,36,70,17,113.1386529217945
35,25,37,70,16,96.62562041529023
35,25,36,80,16,108.0678060574579
35,25,40,79,19,127.01005451728822
35,25,37,77,15,101.9840194768523
35,25,34,76,21,134.996125107966
35,25,34,79,17,104.45822102851707
35,25,38,77,18,120.12267398353018
35,25,37,51,8,50.2688219249035
35,25,31,53,11,69.3191009916196
35,25,34,54,12,76.11533483473983
35,25,31,53,10,56.63400188677529
35,25,38,53,8,47.16280600474164
35,25,35,54,8,49.83641901390161
35,25,35,50,7,40.832964552587455
35,25,34,50,7,42.70014903966833
35,25,31,50,10,58.38289631231168
35,25,31,54,9,56.11464145860117
35,25,36,50,7,38.36513977970749
35,25,39,50,10,60.13880339422739
35,25,30,57,11,67.24688701882681
35,25,34,54,11,66.01567619727894
35,25,36,53,8,50.28760076182547
35,25,35,51,8,49.290352211365274
35,25,33,55,16,94.88458753583203
35,25,34,50,7,42.745388004247545
35,25,31,57,9,53.29197436438681
35,25,84,43,16,97.02336025310991
35,25,83,35,14,93.31346141282398
35,25,81,33,15,100.10563117835615
35,25,82,33,13,81.15802746339317
35,25,80,33,12,78.77485744221542
35,25,84,38,19,127.78920647969788
35,25,84,38,15,100.23485712031982
35,25,79,32,12,76.39837902715125
35,25,80,34,14,88.71713941103063
35,25,82,37,15,96.37841104381825
35,25,82,43,23,142.5173773092236
35,25,83,41,15,102.47733596066917
35,25,82,34,14,88.89866204477823
35,25,84,35,17,109.1738816169971
35,25,80,33,15,99.01231681689819
35,25,87,74,23,158.30085980603238
35,25,90,76,22,149.21896668766016
35,25,89,67,29,190.37727137108635
